country,percentage
Austria,11.6429
Belgium,8.5718
Czech Republic,3.1569
Denmark,13.0096
Estonia,8.3903
Finland,23.3728
France,10.1641
Germany,7.4749
Greece,9.2186
Hungary,10.4749
Iceland,13.9053
Ireland,10.1432
Italy,8.5911
Latvia,6.8388
Lithuania,6.7133
Luxembourg,16.0648
Netherlands,9.5846
Norway,17.6725
Poland,5.7402
Portugal,7.0567
Slovak Republic,7.4879
Slovenia,10.524
Spain,13.7823
Sweden,22.1951
Turkey,2.9369
United Kingdom,11.3421
